,I_e,I_i,stability,turing,p_random,p_down,wavenumber
0,0.6333333333333333,0.5333333333333332,1,0,1,1,
0,0.6666666666666667,0.5333333333333332,1,0,1,1,
0,0.7,0.5333333333333332,1,0,1,1,
0,0.7333333333333334,0.5333333333333332,1,0,1,1,
0,0.7666666666666666,0.5333333333333332,1,0,1,1,
0,0.8,0.5333333333333332,1,0,1,1,
0,0.8333333333333333,0.5333333333333332,1,0,1,1,
0,0.8666666666666667,0.5333333333333332,1,0,1,1,
0,0.8999999999999999,0.5333333333333332,1,0,1,1,
0,0.9333333333333333,0.5333333333333332,1,0,1,1,
0,0.9666666666666666,0.5333333333333332,1,0,1,1,
0,1.0,0.5333333333333332,2,1,1,1,1.1645955899818299
0,-1.0,0.5666666666666667,1,0,1,1,
0,-0.9666666666666667,0.5666666666666667,1,0,1,1,
0,-0.9333333333333333,0.5666666666666667,1,0,1,1,
0,-0.9,0.5666666666666667,1,0,1,1,
0,-0.8666666666666667,0.5666666666666667,1,0,1,1,
0,-0.8333333333333334,0.5666666666666667,1,0,1,1,
0,-0.8,0.5666666666666667,1,0,1,1,
0,-0.7666666666666666,0.5666666666666667,1,0,1,1,
0,-0.7333333333333334,0.5666666666666667,1,0,1,1,
0,-0.7,0.5666666666666667,1,0,1,1,
0,-0.6666666666666667,0.5666666666666667,1,0,1,1,
0,-0.6333333333333333,0.5666666666666667,1,0,1,1,
0,-0.6,0.5666666666666667,1,0,1,1,
0,-0.5666666666666667,0.5666666666666667,1,0,1,1,
0,-0.5333333333333333,0.5666666666666667,1,0,1,1,
0,-0.5,0.5666666666666667,1,0,1,1,
0,-0.4666666666666667,0.5666666666666667,1,0,1,1,
0,-0.43333333333333335,0.5666666666666667,1,0,1,1,
0,-0.4,0.5666666666666667,1,0,1,1,
0,-0.3666666666666667,0.5666666666666667,1,0,1,1,
0,-0.33333333333333337,0.5666666666666667,1,0,1,1,
0,-0.30000000000000004,0.5666666666666667,,0,1,1,
0,-0.2666666666666667,0.5666666666666667,,0,1,1,
0,-0.2333333333333334,0.5666666666666667,,0,1,1,
0,-0.19999999999999996,0.5666666666666667,,0,1,1,
0,-0.16666666666666663,0.5666666666666667,,0,1,1,
0,-0.1333333333333333,0.5666666666666667,,0,1,1,
0,-0.09999999999999998,0.5666666666666667,1,0,1,1,
0,-0.06666666666666665,0.5666666666666667,,0,1,1,
0,-0.033333333333333326,0.5666666666666667,,0,1,1,
0,0.0,0.5666666666666667,,0,1,1,
0,0.033333333333333215,0.5666666666666667,1,0,1,1,
0,0.06666666666666665,0.5666666666666667,1,0,1,1,
0,0.10000000000000009,0.5666666666666667,,0,1,1,
0,0.1333333333333333,0.5666666666666667,,0,1,1,
0,0.16666666666666674,0.5666666666666667,2,0,1,1,
0,0.19999999999999996,0.5666666666666667,2,0,1,1,
0,0.2333333333333334,0.5666666666666667,2,0,1,1,
0,0.2666666666666666,0.5666666666666667,2,0,1,1,
0,0.30000000000000004,0.5666666666666667,2,0,1,1,
0,0.33333333333333326,0.5666666666666667,2,0,1,1,
0,0.3666666666666667,0.5666666666666667,2,0,1,1,
0,0.3999999999999999,0.5666666666666667,2,0,1,1,
0,0.43333333333333335,0.5666666666666667,2,0,1,1,
0,0.46666666666666656,0.5666666666666667,2,0,1,1,
0,0.5,0.5666666666666667,2,0,1,1,
0,0.5333333333333332,0.5666666666666667,2,0,1,1,
0,0.5666666666666667,0.5666666666666667,1,0,1,1,
0,0.6000000000000001,0.5666666666666667,1,0,1,1,
0,0.6333333333333333,0.5666666666666667,1,0,1,1,
0,0.6666666666666667,0.5666666666666667,1,0,1,1,
0,0.7,0.5666666666666667,1,0,1,1,
0,0.7333333333333334,0.5666666666666667,1,0,1,1,
0,0.7666666666666666,0.5666666666666667,1,0,1,1,
0,0.8,0.5666666666666667,1,0,1,1,
0,0.8333333333333333,0.5666666666666667,1,0,1,1,
0,0.8666666666666667,0.5666666666666667,1,0,1,1,
0,0.8999999999999999,0.5666666666666667,2,0,1,1,
0,0.9333333333333333,0.5666666666666667,1,0,1,1,
0,0.9666666666666666,0.5666666666666667,1,0,1,1,
0,1.0,0.5666666666666667,1,0,1,1,
0,-1.0,0.6000000000000001,1,0,1,1,
0,-0.9666666666666667,0.6000000000000001,1,0,1,1,
0,-0.9333333333333333,0.6000000000000001,1,0,1,1,
0,-0.9,0.6000000000000001,1,0,1,1,
0,-0.8666666666666667,0.6000000000000001,1,0,1,1,
0,-0.8333333333333334,0.6000000000000001,1,0,1,1,
0,-0.8,0.6000000000000001,1,0,1,1,
0,-0.7666666666666666,0.6000000000000001,1,0,1,1,
0,-0.7333333333333334,0.6000000000000001,1,0,1,1,
0,-0.7,0.6000000000000001,1,0,1,1,
0,-0.6666666666666667,0.6000000000000001,1,0,1,1,
0,-0.6333333333333333,0.6000000000000001,1,0,1,1,
0,-0.6,0.6000000000000001,1,0,1,1,
0,-0.5666666666666667,0.6000000000000001,1,0,1,1,
0,-0.5333333333333333,0.6000000000000001,1,0,1,1,
0,-0.5,0.6000000000000001,1,0,1,1,
0,-0.4666666666666667,0.6000000000000001,1,0,1,1,
0,-0.43333333333333335,0.6000000000000001,1,0,1,1,
0,-0.4,0.6000000000000001,1,0,1,1,
0,-0.3666666666666667,0.6000000000000001,1,0,1,1,
0,-0.33333333333333337,0.6000000000000001,,0,1,1,
0,-0.30000000000000004,0.6000000000000001,,0,1,1,
0,-0.2666666666666667,0.6000000000000001,,0,1,1,
0,-0.2333333333333334,0.6000000000000001,,0,1,1,
0,-0.19999999999999996,0.6000000000000001,,0,1,1,
0,-0.16666666666666663,0.6000000000000001,1,0,1,1,
0,-0.1333333333333333,0.6000000000000001,1,0,1,1,
0,-0.09999999999999998,0.6000000000000001,,0,1,1,
0,-0.06666666666666665,0.6000000000000001,,0,1,1,
0,-0.033333333333333326,0.6000000000000001,,0,1,1,
0,0.0,0.6000000000000001,,0,1,1,
0,0.033333333333333215,0.6000000000000001,1,0,1,1,
0,0.06666666666666665,0.6000000000000001,1,0,1,1,
0,0.10000000000000009,0.6000000000000001,,0,1,1,
0,0.1333333333333333,0.6000000000000001,,0,1,1,
0,0.16666666666666674,0.6000000000000001,1,0,1,1,
0,0.19999999999999996,0.6000000000000001,2,0,1,1,
0,0.2333333333333334,0.6000000000000001,2,0,1,1,
0,0.2666666666666666,0.6000000000000001,2,0,1,1,
0,0.30000000000000004,0.6000000000000001,2,0,1,1,
0,0.33333333333333326,0.6000000000000001,2,0,1,1,
0,0.3666666666666667,0.6000000000000001,2,0,1,1,
0,0.3999999999999999,0.6000000000000001,2,0,1,1,
0,0.43333333333333335,0.6000000000000001,2,0,1,1,
0,0.46666666666666656,0.6000000000000001,2,0,1,1,
0,0.5,0.6000000000000001,2,0,1,1,
0,0.5333333333333332,0.6000000000000001,2,0,1,1,
0,0.5666666666666667,0.6000000000000001,1,0,1,1,
0,0.6000000000000001,0.6000000000000001,1,0,1,1,
0,0.6333333333333333,0.6000000000000001,1,0,1,1,
0,0.6666666666666667,0.6000000000000001,1,0,1,1,
0,0.7,0.6000000000000001,1,0,1,1,
0,0.7333333333333334,0.6000000000000001,1,0,1,1,
0,0.7666666666666666,0.6000000000000001,1,0,1,1,
0,0.8,0.6000000000000001,1,0,1,1,
0,0.8333333333333333,0.6000000000000001,1,0,1,1,
0,0.8666666666666667,0.6000000000000001,1,0,1,1,
0,0.8999999999999999,0.6000000000000001,1,0,1,1,
0,0.9333333333333333,0.6000000000000001,2,0,1,1,
0,0.9666666666666666,0.6000000000000001,1,0,1,1,
0,1.0,0.6000000000000001,1,0,1,1,
0,-1.0,0.6333333333333333,1,0,1,1,
0,-0.9666666666666667,0.6333333333333333,1,0,1,1,
0,-0.9333333333333333,0.6333333333333333,1,0,1,1,
0,-0.9,0.6333333333333333,1,0,1,1,
0,-0.8666666666666667,0.6333333333333333,1,0,1,1,
0,-0.8333333333333334,0.6333333333333333,1,0,1,1,
0,-0.8,0.6333333333333333,1,0,1,1,
0,-0.7666666666666666,0.6333333333333333,1,0,1,1,
0,-0.7333333333333334,0.6333333333333333,1,0,1,1,
0,-0.7,0.6333333333333333,1,0,1,1,
0,-0.6666666666666667,0.6333333333333333,1,0,1,1,
0,-0.6333333333333333,0.6333333333333333,1,0,1,1,
0,-0.6,0.6333333333333333,1,0,1,1,
0,-0.5666666666666667,0.6333333333333333,1,0,1,1,
0,-0.5333333333333333,0.6333333333333333,1,0,1,1,
0,-0.5,0.6333333333333333,1,0,1,1,
0,-0.4666666666666667,0.6333333333333333,1,0,1,1,
0,-0.43333333333333335,0.6333333333333333,1,0,1,1,
0,-0.4,0.6333333333333333,1,0,1,1,
0,-0.3666666666666667,0.6333333333333333,1,0,1,1,
0,-0.33333333333333337,0.6333333333333333,,0,1,1,
0,-0.30000000000000004,0.6333333333333333,,0,1,1,
0,-0.2666666666666667,0.6333333333333333,,0,1,1,
0,-0.2333333333333334,0.6333333333333333,,0,1,1,
0,-0.19999999999999996,0.6333333333333333,,0,1,1,
0,-0.16666666666666663,0.6333333333333333,,0,1,1,
0,-0.1333333333333333,0.6333333333333333,,0,1,1,
0,-0.09999999999999998,0.6333333333333333,,0,1,1,
0,-0.06666666666666665,0.6333333333333333,,0,1,1,
0,-0.033333333333333326,0.6333333333333333,,0,1,1,
0,0.0,0.6333333333333333,,0,1,1,
0,0.033333333333333215,0.6333333333333333,1,0,1,1,
0,0.06666666666666665,0.6333333333333333,1,0,1,1,
0,0.10000000000000009,0.6333333333333333,,0,1,1,
0,0.1333333333333333,0.6333333333333333,,0,1,1,
0,0.16666666666666674,0.6333333333333333,2,0,1,1,
0,0.19999999999999996,0.6333333333333333,2,0,1,1,
0,0.2333333333333334,0.6333333333333333,2,0,1,1,
0,0.2666666666666666,0.6333333333333333,2,0,1,1,
0,0.30000000000000004,0.6333333333333333,2,0,1,1,
0,0.33333333333333326,0.6333333333333333,2,0,1,1,
0,0.3666666666666667,0.6333333333333333,2,0,1,1,
0,0.3999999999999999,0.6333333333333333,2,0,1,1,
0,0.43333333333333335,0.6333333333333333,2,0,1,1,
0,0.46666666666666656,0.6333333333333333,2,0,1,1,
0,0.5,0.6333333333333333,2,0,1,1,
0,0.5333333333333332,0.6333333333333333,1,0,1,1,
0,0.5666666666666667,0.6333333333333333,1,0,1,1,
0,0.6000000000000001,0.6333333333333333,1,0,1,1,
0,0.6333333333333333,0.6333333333333333,1,0,1,1,
0,0.6666666666666667,0.6333333333333333,1,0,1,1,
0,0.7,0.6333333333333333,1,0,1,1,
0,0.7333333333333334,0.6333333333333333,1,0,1,1,
0,0.7666666666666666,0.6333333333333333,1,0,1,1,
0,0.8,0.6333333333333333,1,0,1,1,
0,0.8333333333333333,0.6333333333333333,1,0,1,1,
0,0.8666666666666667,0.6333333333333333,1,0,1,1,
0,0.8999999999999999,0.6333333333333333,1,0,1,1,
0,0.9333333333333333,0.6333333333333333,1,0,1,1,
0,0.9666666666666666,0.6333333333333333,1,0,1,1,
0,1.0,0.6333333333333333,1,0,1,1,
0,-1.0,0.6666666666666667,1,0,1,1,
0,-0.9666666666666667,0.6666666666666667,1,0,1,1,
0,-0.9333333333333333,0.6666666666666667,1,0,1,1,
0,-0.9,0.6666666666666667,1,0,1,1,
0,-0.8666666666666667,0.6666666666666667,1,0,1,1,
0,-0.8333333333333334,0.6666666666666667,1,0,1,1,
0,-0.8,0.6666666666666667,1,0,1,1,
0,-0.7666666666666666,0.6666666666666667,1,0,1,1,
0,-0.7333333333333334,0.6666666666666667,1,0,1,1,
0,-0.7,0.6666666666666667,1,0,1,1,
0,-0.6666666666666667,0.6666666666666667,1,0,1,1,
0,-0.6333333333333333,0.6666666666666667,1,0,1,1,
0,-0.6,0.6666666666666667,1,0,1,1,
0,-0.5666666666666667,0.6666666666666667,1,0,1,1,
0,-0.5333333333333333,0.6666666666666667,1,0,1,1,
0,-0.5,0.6666666666666667,1,0,1,1,
0,-0.4666666666666667,0.6666666666666667,1,0,1,1,
0,-0.43333333333333335,0.6666666666666667,1,0,1,1,
0,-0.4,0.6666666666666667,1,0,1,1,
0,-0.3666666666666667,0.6666666666666667,,0,1,1,
0,-0.33333333333333337,0.6666666666666667,,0,1,1,
0,-0.30000000000000004,0.6666666666666667,,0,1,1,
0,-0.2666666666666667,0.6666666666666667,,0,1,1,
0,-0.2333333333333334,0.6666666666666667,,0,1,1,
0,-0.19999999999999996,0.6666666666666667,,0,1,1,
0,-0.16666666666666663,0.6666666666666667,,0,1,1,
0,-0.1333333333333333,0.6666666666666667,,0,1,1,
0,-0.09999999999999998,0.6666666666666667,1,0,1,1,
0,-0.06666666666666665,0.6666666666666667,,0,1,1,
0,-0.033333333333333326,0.6666666666666667,,0,1,1,
0,0.0,0.6666666666666667,,0,1,1,
0,0.033333333333333215,0.6666666666666667,1,0,1,1,
0,0.06666666666666665,0.6666666666666667,1,0,1,1,
0,0.10000000000000009,0.6666666666666667,,0,1,1,
0,0.1333333333333333,0.6666666666666667,,0,1,1,
0,0.16666666666666674,0.6666666666666667,2,0,1,1,
0,0.19999999999999996,0.6666666666666667,2,0,1,1,
0,0.2333333333333334,0.6666666666666667,2,0,1,1,
0,0.2666666666666666,0.6666666666666667,2,0,1,1,
0,0.30000000000000004,0.6666666666666667,2,0,1,1,
0,0.33333333333333326,0.6666666666666667,2,0,1,1,
0,0.3666666666666667,0.6666666666666667,2,0,1,1,
0,0.3999999999999999,0.6666666666666667,2,0,1,1,
0,0.43333333333333335,0.6666666666666667,2,0,1,1,
0,0.46666666666666656,0.6666666666666667,2,0,1,1,
0,0.5,0.6666666666666667,2,0,1,1,
0,0.5333333333333332,0.6666666666666667,1,0,1,1,
0,0.5666666666666667,0.6666666666666667,1,0,1,1,
0,0.6000000000000001,0.6666666666666667,1,0,1,1,
0,0.6333333333333333,0.6666666666666667,1,0,1,1,
0,0.6666666666666667,0.6666666666666667,1,0,1,1,
0,0.7,0.6666666666666667,1,0,1,1,
0,0.7333333333333334,0.6666666666666667,1,0,1,1,
0,0.7666666666666666,0.6666666666666667,1,0,1,1,
0,0.8,0.6666666666666667,1,0,1,1,
0,0.8333333333333333,0.6666666666666667,1,0,1,1,
0,0.8666666666666667,0.6666666666666667,1,0,1,1,
0,0.8999999999999999,0.6666666666666667,1,0,1,1,
0,0.9333333333333333,0.6666666666666667,1,0,1,1,
0,0.9666666666666666,0.6666666666666667,1,0,1,1,
0,1.0,0.6666666666666667,1,0,1,1,
0,-1.0,0.7,1,0,1,1,
0,-0.9666666666666667,0.7,1,0,1,1,
0,-0.9333333333333333,0.7,1,0,1,1,
0,-0.9,0.7,1,0,1,1,
0,-0.8666666666666667,0.7,1,0,1,1,
0,-0.8333333333333334,0.7,1,0,1,1,
0,-0.8,0.7,1,0,1,1,
0,-0.7666666666666666,0.7,1,0,1,1,
0,-0.7333333333333334,0.7,1,0,1,1,
0,-0.7,0.7,1,0,1,1,
0,-0.6666666666666667,0.7,1,0,1,1,
0,-0.6333333333333333,0.7,1,0,1,1,
0,-0.6,0.7,1,0,1,1,
0,-0.5666666666666667,0.7,1,0,1,1,
0,-0.5333333333333333,0.7,1,0,1,1,
0,-0.5,0.7,1,0,1,1,
0,-0.4666666666666667,0.7,1,0,1,1,
0,-0.43333333333333335,0.7,1,0,1,1,
0,-0.4,0.7,1,0,1,1,
0,-0.3666666666666667,0.7,,0,1,1,
0,-0.33333333333333337,0.7,1,0,1,1,
0,-0.30000000000000004,0.7,,0,1,1,
0,-0.2666666666666667,0.7,,0,1,1,
0,-0.2333333333333334,0.7,,0,1,1,
0,-0.19999999999999996,0.7,,0,1,1,
0,-0.16666666666666663,0.7,,0,1,1,
0,-0.1333333333333333,0.7,,0,1,1,
0,-0.09999999999999998,0.7,,0,1,1,
0,-0.06666666666666665,0.7,,0,1,1,
0,-0.033333333333333326,0.7,,0,1,1,
0,0.0,0.7,,0,1,1,
0,0.033333333333333215,0.7,1,0,1,1,
0,0.06666666666666665,0.7,1,0,1,1,
0,0.10000000000000009,0.7,,0,1,1,
0,0.1333333333333333,0.7,,0,1,1,
0,0.16666666666666674,0.7,2,0,1,1,
0,0.19999999999999996,0.7,2,0,1,1,
0,0.2333333333333334,0.7,2,0,1,1,
0,0.2666666666666666,0.7,2,0,1,1,
0,0.30000000000000004,0.7,2,0,1,1,
0,0.33333333333333326,0.7,2,0,1,1,
0,0.3666666666666667,0.7,2,0,1,1,
0,0.3999999999999999,0.7,2,0,1,1,
0,0.43333333333333335,0.7,2,0,1,1,
0,0.46666666666666656,0.7,2,0,1,1,
0,0.5,0.7,2,0,1,1,
0,0.5333333333333332,0.7,1,0,1,1,
0,0.5666666666666667,0.7,1,0,1,1,
0,0.6000000000000001,0.7,1,0,1,1,
0,0.6333333333333333,0.7,1,0,1,1,
0,0.6666666666666667,0.7,1,0,1,1,
0,0.7,0.7,1,0,1,1,
0,0.7333333333333334,0.7,1,0,1,1,
0,0.7666666666666666,0.7,1,0,1,1,
0,0.8,0.7,1,0,1,1,
0,0.8333333333333333,0.7,1,0,1,1,
0,0.8666666666666667,0.7,1,0,1,1,
0,0.8999999999999999,0.7,1,0,1,1,
0,0.9333333333333333,0.7,1,0,1,1,
0,0.9666666666666666,0.7,1,0,1,1,
0,1.0,0.7,1,0,1,1,
0,-1.0,0.7333333333333334,1,0,1,1,
0,-0.9666666666666667,0.7333333333333334,1,0,1,1,
0,-0.9333333333333333,0.7333333333333334,1,0,1,1,
0,-0.9,0.7333333333333334,1,0,1,1,
0,-0.8666666666666667,0.7333333333333334,1,0,1,1,
0,-0.8333333333333334,0.7333333333333334,1,0,1,1,
0,-0.8,0.7333333333333334,1,0,1,1,
0,-0.7666666666666666,0.7333333333333334,1,0,1,1,
0,-0.7333333333333334,0.7333333333333334,1,0,1,1,
0,-0.7,0.7333333333333334,1,0,1,1,
0,-0.6666666666666667,0.7333333333333334,1,0,1,1,
0,-0.6333333333333333,0.7333333333333334,1,0,1,1,
0,-0.6,0.7333333333333334,1,0,1,1,
0,-0.5666666666666667,0.7333333333333334,1,0,1,1,
0,-0.5333333333333333,0.7333333333333334,1,0,1,1,
0,-0.5,0.7333333333333334,1,0,1,1,
0,-0.4666666666666667,0.7333333333333334,1,0,1,1,
0,-0.43333333333333335,0.7333333333333334,1,0,1,1,
0,-0.4,0.7333333333333334,1,0,1,1,
0,-0.3666666666666667,0.7333333333333334,1,0,1,1,
0,-0.33333333333333337,0.7333333333333334,,0,1,1,
0,-0.30000000000000004,0.7333333333333334,,0,1,1,
0,-0.2666666666666667,0.7333333333333334,,0,1,1,
0,-0.2333333333333334,0.7333333333333334,,0,1,1,
0,-0.19999999999999996,0.7333333333333334,,0,1,1,
0,-0.16666666666666663,0.7333333333333334,,0,1,1,
0,-0.1333333333333333,0.7333333333333334,,0,1,1,
0,-0.09999999999999998,0.7333333333333334,,0,1,1,
0,-0.06666666666666665,0.7333333333333334,1,0,1,1,
0,-0.033333333333333326,0.7333333333333334,,0,1,1,
0,0.0,0.7333333333333334,,0,1,1,
0,0.033333333333333215,0.7333333333333334,1,0,1,1,
0,0.06666666666666665,0.7333333333333334,1,0,1,1,
0,0.10000000000000009,0.7333333333333334,,0,1,1,
0,0.1333333333333333,0.7333333333333334,,0,1,1,
0,0.16666666666666674,0.7333333333333334,2,0,1,1,
0,0.19999999999999996,0.7333333333333334,2,0,1,1,
0,0.2333333333333334,0.7333333333333334,2,0,1,1,
0,0.2666666666666666,0.7333333333333334,2,0,1,1,
0,0.30000000000000004,0.7333333333333334,2,0,1,1,
0,0.33333333333333326,0.7333333333333334,2,0,1,1,
0,0.3666666666666667,0.7333333333333334,2,0,1,1,
0,0.3999999999999999,0.7333333333333334,2,0,1,1,
0,0.43333333333333335,0.7333333333333334,2,0,1,1,
0,0.46666666666666656,0.7333333333333334,2,0,1,1,
0,0.5,0.7333333333333334,1,0,1,1,
0,0.5333333333333332,0.7333333333333334,1,0,1,1,
0,0.5666666666666667,0.7333333333333334,1,0,1,1,
0,0.6000000000000001,0.7333333333333334,1,0,1,1,
0,0.6333333333333333,0.7333333333333334,1,0,1,1,
0,0.6666666666666667,0.7333333333333334,1,0,1,1,
0,0.7,0.7333333333333334,1,0,1,1,
0,0.7333333333333334,0.7333333333333334,1,0,1,1,
0,0.7666666666666666,0.7333333333333334,1,0,1,1,
0,0.8,0.7333333333333334,1,0,1,1,
0,0.8333333333333333,0.7333333333333334,1,0,1,1,
0,0.8666666666666667,0.7333333333333334,1,0,1,1,
0,0.8999999999999999,0.7333333333333334,1,0,1,1,
0,0.9333333333333333,0.7333333333333334,1,0,1,1,
0,0.9666666666666666,0.7333333333333334,1,0,1,1,
0,1.0,0.7333333333333334,1,0,1,1,
0,-1.0,0.7666666666666666,1,0,1,1,
0,-0.9666666666666667,0.7666666666666666,1,0,1,1,
0,-0.9333333333333333,0.7666666666666666,1,0,1,1,
0,-0.9,0.7666666666666666,1,0,1,1,
0,-0.8666666666666667,0.7666666666666666,1,0,1,1,
0,-0.8333333333333334,0.7666666666666666,1,0,1,1,
0,-0.8,0.7666666666666666,1,0,1,1,
0,-0.7666666666666666,0.7666666666666666,1,0,1,1,
0,-0.7333333333333334,0.7666666666666666,1,0,1,1,
0,-0.7,0.7666666666666666,1,0,1,1,
0,-0.6666666666666667,0.7666666666666666,1,0,1,1,
0,-0.6333333333333333,0.7666666666666666,1,0,1,1,
0,-0.6,0.7666666666666666,1,0,1,1,
0,-0.5666666666666667,0.7666666666666666,1,0,1,1,
0,-0.5333333333333333,0.7666666666666666,1,0,1,1,
0,-0.5,0.7666666666666666,1,0,1,1,
0,-0.4666666666666667,0.7666666666666666,1,0,1,1,
0,-0.43333333333333335,0.7666666666666666,1,0,1,1,
0,-0.4,0.7666666666666666,1,0,1,1,
0,-0.3666666666666667,0.7666666666666666,1,0,1,1,
0,-0.33333333333333337,0.7666666666666666,,0,1,1,
0,-0.30000000000000004,0.7666666666666666,,0,1,1,
0,-0.2666666666666667,0.7666666666666666,,0,1,1,
0,-0.2333333333333334,0.7666666666666666,,0,1,1,
0,-0.19999999999999996,0.7666666666666666,,0,1,1,
0,-0.16666666666666663,0.7666666666666666,,0,1,1,
0,-0.1333333333333333,0.7666666666666666,1,0,1,1,
0,-0.09999999999999998,0.7666666666666666,1,0,1,1,
0,-0.06666666666666665,0.7666666666666666,,0,1,1,
0,-0.033333333333333326,0.7666666666666666,,0,1,1,
0,0.0,0.7666666666666666,,0,1,1,
0,0.033333333333333215,0.7666666666666666,1,0,1,1,
0,0.06666666666666665,0.7666666666666666,1,0,1,1,
0,0.10000000000000009,0.7666666666666666,,0,1,1,
0,0.1333333333333333,0.7666666666666666,,0,1,1,
0,0.16666666666666674,0.7666666666666666,2,0,1,1,
0,0.19999999999999996,0.7666666666666666,2,0,1,1,
0,0.2333333333333334,0.7666666666666666,2,0,1,1,
0,0.2666666666666666,0.7666666666666666,2,0,1,1,
0,0.30000000000000004,0.7666666666666666,2,0,1,1,
0,0.33333333333333326,0.7666666666666666,2,0,1,1,
0,0.3666666666666667,0.7666666666666666,2,0,1,1,
0,0.3999999999999999,0.7666666666666666,2,0,1,1,
0,0.43333333333333335,0.7666666666666666,2,0,1,1,
0,0.46666666666666656,0.7666666666666666,2,0,1,1,
0,0.5,0.7666666666666666,1,0,1,1,
0,0.5333333333333332,0.7666666666666666,1,0,1,1,
0,0.5666666666666667,0.7666666666666666,1,0,1,1,
0,0.6000000000000001,0.7666666666666666,1,0,1,1,
0,0.6333333333333333,0.7666666666666666,1,0,1,1,
0,0.6666666666666667,0.7666666666666666,1,0,1,1,
0,0.7,0.7666666666666666,1,0,1,1,
0,0.7333333333333334,0.7666666666666666,1,0,1,1,
0,0.7666666666666666,0.7666666666666666,1,0,1,1,
0,0.8,0.7666666666666666,1,0,1,1,
0,0.8333333333333333,0.7666666666666666,1,0,1,1,
0,0.8666666666666667,0.7666666666666666,1,0,1,1,
0,0.8999999999999999,0.7666666666666666,1,0,1,1,
0,0.9333333333333333,0.7666666666666666,1,0,1,1,
0,0.9666666666666666,0.7666666666666666,1,0,1,1,
0,1.0,0.7666666666666666,1,0,1,1,
0,-1.0,0.8,1,0,1,1,
0,-0.9666666666666667,0.8,1,0,1,1,
0,-0.9333333333333333,0.8,1,0,1,1,
0,-0.9,0.8,1,0,1,1,
0,-0.8666666666666667,0.8,1,0,1,1,
0,-0.8333333333333334,0.8,1,0,1,1,
0,-0.8,0.8,1,0,1,1,
0,-0.7666666666666666,0.8,1,0,1,1,
0,-0.7333333333333334,0.8,1,0,1,1,
0,-0.7,0.8,1,0,1,1,
0,-0.6666666666666667,0.8,1,0,1,1,
0,-0.6333333333333333,0.8,1,0,1,1,
0,-0.6,0.8,1,0,1,1,
0,-0.5666666666666667,0.8,1,0,1,1,
0,-0.5333333333333333,0.8,1,0,1,1,
0,-0.5,0.8,1,0,1,1,
0,-0.4666666666666667,0.8,1,0,1,1,
0,-0.43333333333333335,0.8,1,0,1,1,
0,-0.4,0.8,1,0,1,1,
0,-0.3666666666666667,0.8,,0,1,1,
0,-0.33333333333333337,0.8,,0,1,1,
0,-0.30000000000000004,0.8,,0,1,1,
0,-0.2666666666666667,0.8,,0,1,1,
0,-0.2333333333333334,0.8,,0,1,1,
0,-0.19999999999999996,0.8,,0,1,1,
0,-0.16666666666666663,0.8,,0,1,1,
0,-0.1333333333333333,0.8,,0,1,1,
0,-0.09999999999999998,0.8,,0,1,1,
0,-0.06666666666666665,0.8,,0,1,1,
0,-0.033333333333333326,0.8,,0,1,1,
0,0.0,0.8,,0,1,1,
0,0.033333333333333215,0.8,1,0,1,1,
0,0.06666666666666665,0.8,1,0,1,1,
0,0.10000000000000009,0.8,,0,1,1,
0,0.1333333333333333,0.8,,0,1,1,
0,0.16666666666666674,0.8,2,0,1,1,
0,0.19999999999999996,0.8,2,0,1,1,
0,0.2333333333333334,0.8,2,0,1,1,
0,0.2666666666666666,0.8,2,0,1,1,
0,0.30000000000000004,0.8,2,0,1,1,
0,0.33333333333333326,0.8,2,0,1,1,
0,0.3666666666666667,0.8,2,0,1,1,
0,0.3999999999999999,0.8,2,0,1,1,
0,0.43333333333333335,0.8,2,0,1,1,
0,0.46666666666666656,0.8,2,0,1,1,
0,0.5,0.8,1,0,1,1,
0,0.5333333333333332,0.8,1,0,1,1,
0,0.5666666666666667,0.8,1,0,1,1,
0,0.6000000000000001,0.8,1,0,1,1,
0,0.6333333333333333,0.8,1,0,1,1,
0,0.6666666666666667,0.8,1,0,1,1,
0,0.7,0.8,1,0,1,1,
0,0.7333333333333334,0.8,1,0,1,1,
0,0.7666666666666666,0.8,1,0,1,1,
0,0.8,0.8,1,0,1,1,
0,0.8333333333333333,0.8,1,0,1,1,
0,0.8666666666666667,0.8,1,0,1,1,
0,0.8999999999999999,0.8,1,0,1,1,
0,0.9333333333333333,0.8,1,0,1,1,
0,0.9666666666666666,0.8,1,0,1,1,
0,1.0,0.8,1,0,1,1,
0,-1.0,0.8333333333333333,1,0,1,1,
0,-0.9666666666666667,0.8333333333333333,1,0,1,1,
0,-0.9333333333333333,0.8333333333333333,1,0,1,1,
0,-0.9,0.8333333333333333,1,0,1,1,
0,-0.8666666666666667,0.8333333333333333,1,0,1,1,
0,-0.8333333333333334,0.8333333333333333,1,0,1,1,
0,-0.8,0.8333333333333333,1,0,1,1,
0,-0.7666666666666666,0.8333333333333333,1,0,1,1,
0,-0.7333333333333334,0.8333333333333333,1,0,1,1,
0,-0.7,0.8333333333333333,1,0,1,1,
0,-0.6666666666666667,0.8333333333333333,1,0,1,1,
0,-0.6333333333333333,0.8333333333333333,1,0,1,1,
0,-0.6,0.8333333333333333,1,0,1,1,
0,-0.5666666666666667,0.8333333333333333,1,0,1,1,
0,-0.5333333333333333,0.8333333333333333,1,0,1,1,
